ID,Z1,Z2,Z3,Z4,Z5,Z6,X,Y,X2,Y2,__X,__Y,Line
ridge,0.00293509219773,0.272597402334,-15.1723175049,-1.16587550725e-09,-4.27691349003e-09,1,370304.625,5027374.0,370304.625,5027374.0,370304.625,5027374.0,10
ridge,0.00292014470324,0.138966038823,-14.1783905029,-6.35721697506e-10,-4.57465532122e-09,1,370353.96875,5027188.5,370353.96875,5027188.5,370353.96875,5027188.5,10
ridge,0.00287690991536,0.0612407177687,-4.68713378906,-2.58846943879e-10,-4.22671320166e-09,1,370373.21875,5026998.0,370373.21875,5026998.0,370373.21875,5026998.0,10
ridge,0.00282384967431,0.0289065688848,6.25892782211,1.10011555421e-10,-3.80576326009e-09,1,370357.21875,5026804.5,370357.21875,5026804.5,370357.21875,5026804.5,10
ridge,0.00279459846206,0.104783207178,0.211337432265,7.45149497661e-10,-7.11134440223e-09,1,370295.8125,5026599.5,370295.8125,5026599.5,370295.8125,5026599.5,10
ridge,0.00282241823152,0.00268603069708,2.84356212616,3.13171710786e-11,-1.1659275323e-08,1,370252.0,5026397.5,370252.0,5026397.5,370252.0,5026397.5,10
ridge,0.00286991242319,0.0935618579388,7.30018043518,-1.64757452126e-09,-1.76094676618e-08,1,370216.65625,5026198.0,370216.65625,5026198.0,370216.65625,5026198.0,10
ridge,0.00283183134161,0.0394106432796,-0.826095581055,-8.43045633303e-10,-2.13913189384e-08,1,370214.65625,5026000.0,370214.65625,5026000.0,370214.65625,5026000.0,10
ridge,0.00267436821014,0.0828874856234,-7.1300201416,-1.57211488272e-09,-1.89668547534e-08,1,370225.5,5025803.0,370225.5,5025803.0,370225.5,5025803.0,10
ridge,0.00239452160895,0.0983789116144,-0.908355712891,1.14839959764e-09,-1.16732294941e-08,1,370257.53125,5025601.0,370257.53125,5025601.0,370257.53125,5025601.0,10
ridge,0.00182126811706,0.535705864429,7.78264188766,-1.61822133471e-09,-3.02072744596e-09,1,364830.6875,5025596.0,364830.6875,5025596.0,364830.6875,5025596.0,11
ridge,0.00185031059664,0.316434979439,12.1987962723,1.04356701058e-09,-3.29788774067e-09,1,364847.84375,5025789.5,364847.84375,5025789.5,364847.84375,5025789.5,11
ridge,0.001919977949,0.308805733919,-13.1204223633,6.71545485886e-10,-2.17465356833e-09,1,364911.875,5025979.5,364911.875,5025979.5,364911.875,5025979.5,11
ridge,0.00200912309811,0.513105690479,-27.4298095703,1.21050724999e-09,-2.35917729796e-09,1,364921.3125,5026159.0,364921.3125,5026159.0,364921.3125,5026159.0,11
ridge,0.00225974037312,0.284367054701,-9.93946838379,2.86990875509e-09,-1.00922692425e-08,1,364816.90625,5026403.0,364816.90625,5026403.0,364816.90625,5026403.0,11
ridge,0.0025539547205,0.101965218782,-27.2689056396,-1.57824509017e-09,-1.54782693329e-08,1,364779.09375,5026589.0,364779.09375,5026589.0,364779.09375,5026589.0,11
ridge,0.00281224050559,0.339387595654,-26.7411956787,-7.48591943989e-09,-2.2057138338e-08,1,364632.25,5026816.0,364632.25,5026816.0,364632.25,5026816.0,11
ridge,0.00269197300076,0.0147927999496,-10.4260253906,-3.44882344905e-10,-2.33142039008e-08,1,364593.65625,5026999.0,364593.65625,5026999.0,364593.65625,5026999.0,11
ridge,0.00246330304071,0.314203619957,1.63729262352,6.21553519764e-09,-1.9781870364e-08,1,364576.4375,5027200.5,364576.4375,5027200.5,364576.4375,5027200.5,11
ridge,0.00239540310577,0.238133192062,3.8098461628,2.58384025287e-09,-1.08503996898e-08,1,364567.53125,5027402.0,364567.53125,5027402.0,364567.53125,5027402.0,11
